label,smiles
proline,O=C(O)C1CCCN1
para-aminobenzoic acid,Nc1ccc(C(=O)O)cc1
homoserine,NC(CCO)C(=O)O
R-aza-beta-tyrosine,NC(CC(=O)O)c1ccc(O)cn1
tyrosine,NC(Cc1ccc(O)cc1)C(=O)O
para-hydroxyphenylglycine,NC(C(=O)O)c1ccc(O)cc1
alanine,CC(N)C(=O)O
3-amino-4-hydroxybenzoic acid,Nc1cc(C(=O)O)ccc1O
aspartic acid,NC(CC(=O)O)C(=O)O
cysteine,NC(CS)C(=O)O
"3,5-dihydroxyphenylglycine",NC(C(=O)O)c1cc(O)cc(O)c1
tryptophan,NC(Cc1c[nH]c2ccccc12)C(=O)O
glutamic acid,NC(CCC(=O)O)C(=O)O
threonine,CC(O)C(N)C(=O)O
glycine,NCC(=O)O
lysine,NCCCCC(N)C(=O)O
asparagine,NC(=O)CC(N)C(=O)O
phenylalanine,NC(Cc1ccccc1)C(=O)O
valine,CC(C)C(N)C(=O)O
leucine,CC(C)CC(N)C(=O)O
2-carboxy-6-hydroxyoctahydroindole,O=C(O)C1CC2CCC(O)CC2N1
isoleucine,CCC(C)C(N)C(=O)O
serine,NC(CO)C(=O)O
arginine,NC(N)=NCCCC(N)C(=O)O
homotyrosine,NC(CCc1ccc(O)cc1)C(=O)O
"2,3-dihydroxybenzoic acid",O=C(O)c1cccc(O)c1O
ornithine,NCCCC(N)C(=O)O
histidine,NC(Cc1cnc[nH]1)C(=O)O
beta-hydroxytyrosine,NC(C(=O)O)C(O)c1ccc(O)cc1
coumaric acid,O=C(O)C=Cc1ccc(O)cc1
capreomycidine,NC1=NCCC(C(N)C(=O)O)N1
aminoadipic acid,NC(CCCC(=O)O)C(=O)O
glutamine,NC(=O)CCC(N)C(=O)O
N5-formyl-N5-hydroxyornithine,NC(CCCN(O)C=O)C(=O)O
N5-hydroxyornithine,NC(CCCNO)C(=O)O
guanidinoacetic acid,NC(N)=NCC(=O)O
3-amino-6-hydroxy-2-piperidone,NC1CCC(O)NC1=O
"2-amino-3,5-dimethyl-4-hexenoic Acid",CC(C)=CC(C)C(N)C(=O)O
4R-E-butenyl-4R-methylthreonine,CC=CCC(C)C(O)C(N)C(=O)O
2-aminobutyric acid,CCC(N)C(=O)O
3R-methylglutamic acid,CC(CC(=O)O)C(N)C(=O)O
kynurenine,Nc1ccccc1C(=O)CC(N)C(=O)O
quinoxaline-2-carboxylic acid,O=C(O)c1cnc2ccccc2n1
citrulline,NC(=O)NCCCC(N)C(=O)O
enduracididine,NC1=NCC(CC(N)C(=O)O)N1
2-hydroxyisovaleric acid,CC(C)C(O)C(=O)O
N5-acetyl-N5-hydroxyornithine,CC(=O)N(O)CCCC(N)C(=O)O
3-hydroxy-O-methyl-5-methyltyrosine,COc1c(C)cc(CC(N)C(=O)O)cc1O
pipecolic acid,O=C(O)C1CCCCN1
"2,3-diaminobutyric acid",CC(N)C(N)C(=O)O
3S-methylaspartic acid,CC(C(=O)O)C(N)C(=O)O
"2,4-diaminobutyric acid",NCCC(N)C(=O)O
alaninol,CC(N)CO
3-(2-nitrocyclopropylalanine),NC(CC1CC1[N+](=O)[O-])C(=O)O
beta-methylphenylalanine,CC(c1ccccc1)C(N)C(=O)O
4S-propenylproline,CC=CC1CNC(C(=O)O)C1
6-chlorotryptophan,NC(Cc1c[nH]c2cc(Cl)ccc12)C(=O)O
6-chloro-4-hydroxyindole-3-carboxylic acid,O=C(O)c1c[nH]c2cc(Cl)cc(O)c12
2-methylserine,CC(N)(CO)C(=O)O
2-(1-methylcyclopropyl)-D-glycine,CC1(C(N)C(=O)O)CC1
piperazic acid,O=C(O)C1CCCNN1
"6,7-dichlorotryptophan",NC(Cc1c[nH]c2c(Cl)c(Cl)ccc12)C(=O)O
"2,3-diaminopropionic acid",NCC(N)C(=O)O
S-beta-hydroxyenduracididine,NC1=NCC(C(O)C(N)C(=O)O)N1
3-hydroxyvaline,CC(C)(O)C(N)C(=O)O
beta-lysine,NCCCC(N)CC(=O)O
4-methylproline,CC1CNC(C(=O)O)C1
3-methoxyanthranilic acid,COc1cccc(C(=O)O)c1N
4R-propylproline,CCCC1CNC(C(=O)O)C1
"4,5-dehydroarginine",N=C(N)NC=CCC(N)C(=O)O
O-methyltyrosine,COc1ccc(CC(N)C(=O)O)cc1
cysteic acid,NC(CS(=O)(=O)O)C(=O)O
3-hydroxyaspartic acid,NC(C(=O)O)C(O)C(=O)O
anthranilic acid,Nc1ccccc1C(=O)O
3-hydroxypicolinic acid,O=C(O)c1ncccc1O
4R-hydroxyproline,O=C(O)C1CC(O)CN1
salicylic acid,O=C(O)c1ccccc1O
beta-alanine,NCCC(=O)O
meta-tyrosine,NC(Cc1cccc(O)c1)C(=O)O
methionine,CSCCC(N)C(=O)O
S-beta-hydroxycyclohex-2S-enylalanine,NC(C(=O)O)C(O)C1C=CCCC1
3-aminoisobutyric acid,CC(CN)C(=O)O
2-ketoisocaproic acid,CC(C)CC(=O)C(=O)O
cinnamic acid,O=C(O)C=Cc1ccccc1
N6-hydroxylysine,NC(CCCCNO)C(=O)O
3R-hydroxyhomotyrosine,NC(C(=O)O)C(O)Cc1ccc(O)cc1
3-hydroxyglutamine,NC(=O)CC(O)C(N)C(=O)O
3-hydroxy-3-methylproline,CC1(O)CCNC1C(=O)O
3-hydroxyleucine,CC(C)C(O)C(N)C(=O)O
3-(3-pyridyl)-alanine,NC(Cc1cccnc1)C(=O)O
"3,4-dehydrolysine",NCCC=CC(N)C(=O)O
2-ketoisovaleric acid,CC(C)C(=O)C(=O)O
"2S-amino-9,10-epoxy-8-oxodecanoic acid",NC(CCCCCC(=O)C1CO1)C(=O)O
2-amino-3-hydroxycyclopent-2-enone,NC1=C(O)CCC1=O
5-aminolevulinic acid,NCC(=O)CCC(=O)O
3-hydroxyasparagine,NC(=O)C(O)C(N)C(=O)O
(E)-4-methylhex-2-enoic acid,CCC(C)C=CC(=O)O
linoleic acid,CCCCCC=CCC=CCCCCCCCC(=O)O
beta-phenylalanine,NC(CC(=O)O)c1ccccc1
dehydrotryptophan,NC(=Cc1c[nH]c2ccccc12)C(=O)O
R-beta-methyltryptophan,CC(c1c[nH]c2ccccc12)C(N)C(=O)O
"2,3-dihydroxy-para-aminobenzoic acid",Nc1ccc(C(=O)O)c(O)c1O
"(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid",NC(C(=O)O)C(O)Cc1ccc([N+](=O)[O-])cc1
3S-methylproline,CC1CCNC1C(=O)O
phenyllactic acid,CC(O)(C(=O)O)c1ccccc1
p-hydroxymandelate,O=C(O)C(O)c1ccc(O)cc1
6-methylsalicylic acid,Cc1cccc(O)c1C(=O)O
2-aminooctanoic acid,CCCCCCC(N)C(=O)O
2S-aminododecanoic acid,CCCCCCCCCCC(N)C(=O)O
5-chlorotryptophan,NC(Cc1c[nH]c2ccc(Cl)cc12)C(=O)O
"1-(1,1-dimethylallyl)-tryptophan",C=CC(C)(C)n1cc(CC(N)C(=O)O)c2ccccc21
3-nitrotyrosine,NC(Cc1ccc(O)c([N+](=O)[O-])c1)C(=O)O
"(S,E)-2-amino-4-decenoic acid",CCCCCC=CCC(N)C(=O)O
"(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid",NC(CCC(O)C(N)CO)C(=O)O
"3,4-dihydroxybenzoic acid",O=C(O)c1ccc(O)c(O)c1
"3-amino-2,4-dihydroxybenzoic acid",Nc1c(O)ccc(C(=O)O)c1O
2-sulfamoylacetic acid,NS(=O)(=O)CC(=O)O
2-ketoglutaric acid,O=C(O)CCC(=O)C(=O)O
succinic semialdehyde,O=CCCC(=O)O
An acid hydrazine polyene (intermediate 14),O=C(O)CCC(=O)NNCC(=O)O
succinyl-hydrazinoacetic acid,NN=CC=CC=CC=CC=CC=CC(=O)O
graminine,NC(CCCN(O)N=O)C(=O)O
"phenazine-1,6-dicarboxylic acid",O=C(O)c1cccc2nc3c(C(=O)O)cccc3nc12
5-chloroanthranilic acid,Nc1ccc(Cl)cc1C(=O)O
azetidine-2-carboxylic acid,O=C(O)C1CCN1
3-methylasparagine,CC(C(N)=O)C(N)C(=O)O
3-hydroxy-4-methylproline,CC1CNC(C(=O)O)C1O
